[rosmaster.main][INFO] 2026-07-09 16:10:25,586: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-09 16:10:25,586: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-09 16:10:25,586: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2026-07-09 16:10:25,587: Started XML-RPC server [http://lxr20:11311/]
[rosmaster.master][INFO] 2026-07-09 16:10:25,587: Master initialized: port[11311], uri[http://lxr20:11311/]
[xmlrpc][INFO] 2026-07-09 16:10:25,587: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-09 16:10:25,633: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:10:25,634: +PARAM [/roslaunch/uris/host_lxr20__45807] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:10:25,671: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:10:25,671: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:10:25,679: +SERVICE [/rosout/get_loggers] /rosout http://lxr20:33303/
[rosmaster.master][INFO] 2026-07-09 16:10:25,680: +SERVICE [/rosout/set_logger_level] /rosout http://lxr20:33303/
[rosmaster.master][INFO] 2026-07-09 16:10:25,680: +PUB [/rosout_agg] /rosout http://lxr20:33303/
[rosmaster.master][INFO] 2026-07-09 16:10:25,682: +SUB [/rosout] /rosout http://lxr20:33303/
[rosmaster.master][INFO] 2026-07-09 16:11:19,986: +PARAM [/roslaunch/uris/host_localhost__32969] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/init_state_x] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/init_state_y] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/map/x_size] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/map/y_size] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/map/z_size] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/map/resolution] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,995: +PARAM [/random_forest/ObstacleShape/seed] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,996: +PARAM [/random_forest/map/obs_num] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,996: +PARAM [/random_forest/ObstacleShape/lower_rad] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,996: +PARAM [/random_forest/ObstacleShape/upper_rad] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,996: +PARAM [/random_forest/ObstacleShape/lower_hei] by /roslaunch
[rosmaster.master][INFO] 2026-07-09 16:11:19,996: +PARAM [/random_forest/ObstacleShape/upper_hei] by /roslaunch
