run_id,method,baseline_id,class,D_min,beta_mean,beta_max,path_length,travel_time,success,run_dir
20260607_130759_Exp2_category_adult_Category_only,Category_only,Category_only,adult,0.367867,0.385101,0.400000,9.874623,11.300191,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_adult_Category_only
20260607_130759_Exp2_category_adult_Fixed_margin,Fixed_margin,Fixed_margin,adult,0.400336,0.387328,0.400000,9.700273,11.200068,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_adult_Fixed_margin
20260607_130759_Exp2_category_adult_SEESM_Ours,SEESM_Ours,SEESM_Ours,adult,0.306218,0.282672,0.354577,9.909798,11.299924,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_adult_SEESM_Ours
20260607_130759_Exp2_category_box_Category_only,Category_only,Category_only,box,0.328074,0.100000,0.100000,9.878335,11.300096,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_box_Category_only
20260607_130759_Exp2_category_box_Fixed_margin,Fixed_margin,Fixed_margin,box,0.341295,0.382934,0.400000,9.874469,11.300055,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_box_Fixed_margin
20260607_130759_Exp2_category_box_SEESM_Ours,SEESM_Ours,SEESM_Ours,box,0.314448,0.071892,0.100000,9.886566,11.300093,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_box_SEESM_Ours
20260607_130759_Exp2_category_child_like_Category_only,Category_only,Category_only,child_like,0.468005,0.652300,0.700000,10.038605,11.300231,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_child_like_Category_only
20260607_130759_Exp2_category_child_like_Fixed_margin,Fixed_margin,Fixed_margin,child_like,0.342141,0.383486,0.400000,9.858692,11.320705,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_child_like_Fixed_margin
20260607_130759_Exp2_category_child_like_SEESM_Ours,SEESM_Ours,SEESM_Ours,child_like,0.442972,0.487842,0.623363,10.047914,11.280219,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_child_like_SEESM_Ours
20260607_130759_Exp2_category_cyclist_Category_only,Category_only,Category_only,cyclist,0.413029,0.561916,0.600000,9.892040,11.320063,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_cyclist_Category_only
20260607_130759_Exp2_category_cyclist_Fixed_margin,Fixed_margin,Fixed_margin,cyclist,0.361595,0.384368,0.400000,9.969653,11.260003,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_cyclist_Fixed_margin
20260607_130759_Exp2_category_cyclist_SEESM_Ours,SEESM_Ours,SEESM_Ours,cyclist,0.358951,0.418000,0.534290,9.925855,11.440172,0,experiments/Exp2_category_aware/runs_static/20260607_130759_Exp2_category_cyclist_SEESM_Ours
