method,class,n,D_min_mean,D_min_std,beta_mean_mean,beta_mean_std,beta_max_mean,beta_max_std,path_length_mean,path_length_std,travel_time_mean,travel_time_std,success_mean,success_std
Fixed_margin,box,1,0.341295,0.000000,0.382934,0.000000,0.400000,0.000000,9.874469,0.000000,11.300055,0.000000,0,0.000000
Fixed_margin,adult,1,0.400336,0.000000,0.387328,0.000000,0.400000,0.000000,9.700273,0.000000,11.200068,0.000000,0,0.000000
Fixed_margin,child_like,1,0.342141,0.000000,0.383486,0.000000,0.400000,0.000000,9.858692,0.000000,11.320705,0.000000,0,0.000000
Fixed_margin,cyclist,1,0.361595,0.000000,0.384368,0.000000,0.400000,0.000000,9.969653,0.000000,11.260003,0.000000,0,0.000000
Category_only,box,1,0.328074,0.000000,0.100000,0.000000,0.100000,0.000000,9.878335,0.000000,11.300096,0.000000,0,0.000000
Category_only,adult,1,0.367867,0.000000,0.385101,0.000000,0.400000,0.000000,9.874623,0.000000,11.300191,0.000000,0,0.000000
Category_only,child_like,1,0.468005,0.000000,0.652300,0.000000,0.700000,0.000000,10.038605,0.000000,11.300231,0.000000,0,0.000000
Category_only,cyclist,1,0.413029,0.000000,0.561916,0.000000,0.600000,0.000000,9.892040,0.000000,11.320063,0.000000,0,0.000000
SEESM_Ours,box,1,0.314448,0.000000,0.071892,0.000000,0.100000,0.000000,9.886566,0.000000,11.300093,0.000000,0,0.000000
SEESM_Ours,adult,1,0.306218,0.000000,0.282672,0.000000,0.354577,0.000000,9.909798,0.000000,11.299924,0.000000,0,0.000000
SEESM_Ours,child_like,1,0.442972,0.000000,0.487842,0.000000,0.623363,0.000000,10.047914,0.000000,11.280219,0.000000,0,0.000000
SEESM_Ours,cyclist,1,0.358951,0.000000,0.418000,0.000000,0.534290,0.000000,9.925855,0.000000,11.440172,0.000000,0,0.000000
