t,id,class,x,y,radius,vx,vy,d_i,rel_v,TTC,h_EE
1780837941.715841770,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002213000,0.000000000,-1.000000000,5.200576340
1780837941.765606165,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002264388,0.000000000,-1.000000000,5.200627728
1780837941.815296412,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002140685,0.000000000,-1.000000000,5.200504025
1780837941.865183592,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002171058,0.000000000,-1.000000000,5.200534397
1780837941.915579081,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002263512,0.000000000,-1.000000000,5.200626852
1780837941.965563297,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002217617,0.000000000,-1.000000000,5.200580957
1780837942.015348434,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002091282,0.000000000,-1.000000000,5.200454622
1780837942.065430164,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002129372,0.000000000,-1.000000000,5.200492712
1780837942.115820885,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002117557,0.000000000,-1.000000000,5.200480897
1780837942.165721178,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002077122,0.000000000,-1.000000000,5.200440462
1780837942.215664864,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002056604,0.000000000,-1.000000000,5.200419944
1780837942.265721321,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002058189,0.000000000,-1.000000000,5.200421529
1780837942.315942764,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002010174,0.000000000,-1.000000000,5.200373514
1780837942.365724325,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002209269,0.000000000,-1.000000000,5.200572609
1780837942.415564060,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002033081,0.000000000,-1.000000000,5.200396421
1780837942.465687037,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002093173,0.000000000,-1.000000000,5.200456513
1780837942.515139341,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002264420,0.000000000,-1.000000000,5.200627760
1780837942.564940691,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002173333,0.000000000,-1.000000000,5.200536673
1780837942.615262032,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002173777,0.000000000,-1.000000000,5.200537117
1780837942.665174246,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002075625,0.000000000,-1.000000000,5.200438965
1780837942.715966463,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002216864,0.000000000,-1.000000000,5.200580204
1780837942.765742540,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002306417,0.000000000,-1.000000000,5.200669757
1780837942.815862894,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002302038,0.000000000,-1.000000000,5.200665378
1780837942.865676641,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002321555,0.000000000,-1.000000000,5.200684895
1780837942.915986061,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002226235,0.000000000,-1.000000000,5.200589574
1780837942.965547323,0,child_like,6.000000000,0.000000000,0.401636660,-0.000000000,-0.000000000,6.002183288,0.000000000,-1.000000000,5.200546627
