t,mpc_status,cmd_v,cmd_w,obs_count,beta_count,used_fallback,slack,solve_time_ms
1780837943.509150505,success,1.222878060,-0.733331881,1,1,0,0.000000000,30.824143000
1780837943.604011536,success,1.139856825,-0.612880614,1,1,0,0.000000000,25.796600000
1780837943.705173492,success,1.004866683,-0.438265765,1,1,0,0.000000000,26.979122000
1780837943.806273222,success,1.141354142,-0.299438972,1,1,0,0.000000000,27.973059000
1780837943.904420137,success,1.014072043,-0.198075804,1,1,0,0.000000000,26.130414000
1780837944.001736164,success,1.135603784,-0.061568154,1,1,0,0.000000000,23.525956000
1780837944.106072187,success,1.196597177,0.367424473,1,1,0,0.000000000,27.727343000
1780837944.207956076,success,1.058251900,0.326101790,1,1,0,0.000000000,29.653759000
1780837944.302869320,success,1.201144283,0.263100395,1,1,0,0.000000000,24.553366000
1780837944.404005289,success,1.066195352,0.182292046,1,1,0,0.000000000,25.723841000
1780837944.503894091,success,1.192871204,0.109838874,1,1,0,0.000000000,25.503339000
1780837944.605827332,success,1.313686265,-0.080746885,1,1,0,0.000000000,27.583614000
1780837944.701929331,success,1.163215525,-0.087544093,1,1,0,0.000000000,23.678302000
1780837944.801675081,success,1.298443111,-0.113939605,1,1,0,0.000000000,23.374158000
1780837944.903978586,success,1.150085127,-0.086993384,1,1,0,0.000000000,25.678545000
1780837944.998706579,success,1.271826415,-0.110249826,1,1,0,0.000000000,20.440012000
1780837945.108375311,success,1.220887672,0.061778647,1,1,0,0.000000000,30.052945000
1780837945.202943325,success,1.073129713,0.070010877,1,1,0,0.000000000,24.595451000
1780837945.306424141,success,1.218843975,0.045011960,1,1,0,0.000000000,28.086991000
1780837945.407683849,success,1.080985493,0.029552710,1,1,0,0.000000000,29.424709000
1780837945.502052546,success,1.295427413,-0.056507003,1,1,0,0.000000000,23.932385000
1780837945.607058287,success,1.151781628,-0.051680019,1,1,0,0.000000000,28.987421000
1780837945.702947617,success,1.289729417,-0.083886844,1,1,0,0.000000000,24.760502000
1780837945.808333158,success,1.142670115,-0.065410167,1,1,0,0.000000000,30.164406000
1780837945.906915665,success,1.266498804,-0.096931034,1,1,0,0.000000000,28.723110000
1780837946.002943516,success,1.204815111,0.004118701,1,1,0,0.000000000,24.633237000
1780837946.103752136,success,1.340897028,-0.030080307,1,1,0,0.000000000,25.465832000
1780837946.204100847,success,1.188034452,-0.027084622,1,1,0,0.000000000,25.849675000
1780837946.300417662,success,1.038932293,-0.022180070,1,1,0,0.000000000,22.216786000
1780837946.407667875,success,1.259566720,-0.258433203,1,1,0,0.000000000,29.423920000
1780837946.506906986,success,1.120843862,-0.218019629,1,1,0,0.000000000,28.735274000
1780837946.608226776,success,1.266054498,-0.197902935,1,1,0,0.000000000,30.034959000
1780837946.702978373,success,1.122873442,-0.141089521,1,1,0,0.000000000,24.723975000
1780837946.810346127,success,1.290647834,-0.017154693,1,1,0,0.000000000,32.087672000
1780837946.909693956,success,1.144913481,-0.002738391,1,1,0,0.000000000,31.436637000
1780837947.009766817,success,1.283377722,-0.058308141,1,1,0,0.000000000,31.380457000
1780837947.108844757,success,1.136577690,-0.058609768,1,1,0,0.000000000,30.542213000
1780837947.203607559,success,1.261274827,-0.120851302,1,1,0,0.000000000,25.355242000
1780837947.303347588,success,1.115896874,-0.095043265,1,1,0,0.000000000,25.084140000
1780837947.404217243,success,1.255157878,-0.178457773,1,1,0,0.000000000,25.963718000
1780837947.502770662,success,1.110650152,-0.097931044,1,1,0,0.000000000,24.331919000
1780837947.608193636,success,1.252555830,-0.132127582,1,1,0,0.000000000,29.947025000
1780837947.704730988,success,1.106046542,0.047665861,1,1,0,0.000000000,26.457277000
1780837947.805255651,success,1.201395979,0.028768048,1,1,0,0.000000000,26.939892000
1780837947.905079365,success,1.142574791,0.384395361,1,1,0,0.000000000,26.769000000
1780837948.006169081,success,1.261622396,0.650124505,1,1,0,0.000000000,27.867784000
1780837948.102989435,success,1.118896259,0.535343311,1,1,0,0.000000000,24.628120000
1780837948.206129313,success,0.980291089,0.398496342,1,1,0,0.000000000,27.916663000
1780837948.301898956,success,1.103997146,0.511245722,1,1,0,0.000000000,23.564083000
1780837948.407236099,success,1.281627551,0.693611645,1,1,0,0.000000000,28.940301000
1780837948.503517151,success,1.142155814,0.522935627,1,1,0,0.000000000,25.311150000
1780837948.604113579,success,1.279922953,0.457461156,1,1,0,0.000000000,25.878011000
1780837948.699821711,success,1.136374895,0.318593831,1,1,0,0.000000000,21.663855000
1780837948.808927774,success,1.263018263,0.267459117,1,1,0,0.000000000,30.731785000
1780837948.904016256,success,1.119701444,0.183385120,1,1,0,0.000000000,25.707176000
1780837949.002830744,success,1.253622754,-0.090487478,1,1,0,0.000000000,24.516755000
1780837949.098311663,success,1.110797834,-0.103362800,1,1,0,0.000000000,20.047672000
1780837949.202213287,success,1.254452509,-0.084017031,1,1,0,0.000000000,23.908947000
1780837949.305621386,success,1.112166401,-0.057040782,1,1,0,0.000000000,27.360144000
1780837949.401754379,success,1.285425500,0.012665539,1,1,0,0.000000000,23.476048000
1780837949.502414465,success,1.140557228,0.019291912,1,1,0,0.000000000,24.142120000
1780837949.601077795,success,1.277165736,0.029189419,1,1,0,0.000000000,22.785118000
1780837949.705953121,success,1.131523020,0.022283548,1,1,0,0.000000000,27.750694000
1780837949.800174236,success,1.253321739,0.034741537,1,1,0,0.000000000,21.890020000
1780837949.903879642,success,1.107266020,0.026925978,1,1,0,0.000000000,25.617212000
1780837950.008349895,success,1.254631088,-0.026112216,1,1,0,0.000000000,30.093765000
1780837950.102658510,success,1.112516735,-0.026686580,1,1,0,0.000000000,24.434594000
1780837950.206520319,success,1.250971107,-0.007741390,1,1,0,0.000000000,28.271457000
1780837950.304655790,success,1.108645617,-0.002738792,1,1,0,0.000000000,26.460887000
1780837950.402865171,success,1.231239235,0.021198254,1,1,0,0.000000000,24.576985000
1780837950.502331495,success,1.090586361,0.020148975,1,1,0,0.000000000,24.107302000
1780837950.603297234,success,1.221689474,0.044929584,1,1,0,0.000000000,24.947319000
1780837950.704070568,success,1.082324314,0.037287438,1,1,0,0.000000000,25.753419000
1780837950.810980320,success,1.221566611,0.071605180,1,1,0,0.000000000,32.657724000
1780837950.906246424,success,1.082998185,0.059420079,1,1,0,0.000000000,27.936075000
1780837951.002825975,success,1.257216615,0.025880083,1,1,0,0.000000000,24.635841000
1780837951.100443363,success,1.115654131,0.015897480,1,1,0,0.000000000,22.313967000
1780837951.201512337,success,1.245098692,0.054469817,1,1,0,0.000000000,23.222300000
1780837951.302772760,success,1.103161782,0.046803616,1,1,0,0.000000000,24.603274000
1780837951.404685736,success,0.965394504,0.037005095,1,1,0,0.000000000,26.496064000
1780837951.505065918,success,1.123580060,0.002981837,1,1,0,0.000000000,26.773462000
1780837951.607010603,success,0.997467568,-0.000146023,1,1,0,0.000000000,28.808042000
1780837951.700526476,success,1.114786822,0.040867362,1,1,0,0.000000000,22.259127000
1780837951.803537607,success,0.985070055,0.035640653,1,1,0,0.000000000,25.370228000
