t,x,y,yaw,v,w,cmd_v,cmd_w
1780837940.542210102,-0.001432988,0.000890040,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.561424494,-0.001471522,0.000951756,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.581390381,-0.001510738,0.001011305,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.601615191,-0.001545516,0.001096130,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.621452570,-0.001590824,0.001053899,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.641449451,-0.001561618,0.000993851,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.661281347,-0.001524993,0.001009762,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.681427002,-0.001605726,0.000953066,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.701598644,-0.001530353,0.000899443,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.721642494,-0.001471983,0.000958412,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.741588831,-0.001486041,0.000990744,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.761521816,-0.001529429,0.000983583,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.781636238,-0.001608183,0.001001795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.801614285,-0.001549261,0.000938838,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.821482897,-0.001512472,0.000959770,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.841380119,-0.001542978,0.000905164,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.861458778,-0.001575106,0.000953124,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.881463528,-0.001591949,0.000998641,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.901466131,-0.001657108,0.000913383,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.921548128,-0.001691855,0.000897676,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.941451788,-0.001706530,0.000915529,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.961376667,-0.001610849,0.000957671,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837940.981535673,-0.001696329,0.000930878,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837941.001419067,-0.001706826,0.000910365,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837941.021543980,-0.001655047,0.000926240,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837941.041546345,-0.001681885,0.000987368,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1780837941.061612368,-0.001708591,0.000931436,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
