t,mpc_secbf_ms,total_loop_time_ms
1780837943.509150505,30.824143000,30.824143000
1780837943.604011536,25.796600000,25.796600000
1780837943.705173492,26.979122000,26.979122000
1780837943.806273222,27.973059000,27.973059000
1780837943.904420137,26.130414000,26.130414000
1780837944.001736164,23.525956000,23.525956000
1780837944.106072187,27.727343000,27.727343000
1780837944.207956076,29.653759000,29.653759000
1780837944.302869320,24.553366000,24.553366000
1780837944.404005289,25.723841000,25.723841000
1780837944.503894091,25.503339000,25.503339000
1780837944.605827332,27.583614000,27.583614000
1780837944.701929331,23.678302000,23.678302000
1780837944.801675081,23.374158000,23.374158000
1780837944.903978586,25.678545000,25.678545000
1780837944.998706579,20.440012000,20.440012000
1780837945.108375311,30.052945000,30.052945000
1780837945.202943325,24.595451000,24.595451000
1780837945.306424141,28.086991000,28.086991000
1780837945.407683849,29.424709000,29.424709000
1780837945.502052546,23.932385000,23.932385000
1780837945.607058287,28.987421000,28.987421000
1780837945.702947617,24.760502000,24.760502000
1780837945.808333158,30.164406000,30.164406000
1780837945.906915665,28.723110000,28.723110000
1780837946.002943516,24.633237000,24.633237000
1780837946.103752136,25.465832000,25.465832000
1780837946.204100847,25.849675000,25.849675000
1780837946.300417662,22.216786000,22.216786000
1780837946.407667875,29.423920000,29.423920000
1780837946.506906986,28.735274000,28.735274000
1780837946.608226776,30.034959000,30.034959000
1780837946.702978373,24.723975000,24.723975000
1780837946.810346127,32.087672000,32.087672000
1780837946.909693956,31.436637000,31.436637000
1780837947.009766817,31.380457000,31.380457000
1780837947.108844757,30.542213000,30.542213000
1780837947.203607559,25.355242000,25.355242000
1780837947.303347588,25.084140000,25.084140000
1780837947.404217243,25.963718000,25.963718000
1780837947.502770662,24.331919000,24.331919000
1780837947.608193636,29.947025000,29.947025000
1780837947.704730988,26.457277000,26.457277000
1780837947.805255651,26.939892000,26.939892000
1780837947.905079365,26.769000000,26.769000000
1780837948.006169081,27.867784000,27.867784000
1780837948.102989435,24.628120000,24.628120000
1780837948.206129313,27.916663000,27.916663000
1780837948.301898956,23.564083000,23.564083000
1780837948.407236099,28.940301000,28.940301000
1780837948.503517151,25.311150000,25.311150000
1780837948.604113579,25.878011000,25.878011000
1780837948.699821711,21.663855000,21.663855000
1780837948.808927774,30.731785000,30.731785000
1780837948.904016256,25.707176000,25.707176000
1780837949.002830744,24.516755000,24.516755000
