semantic_class,context,beta_bar,f_head,ttc,ttc_norm,rho_norm,r_i,beta_i,h_ee,h_see
child,head-on,0.550000,1.000000,1.750000,0.562500,0.000000,0.625000,0.395312,0.600000,0.204688
child,crossing,0.550000,1.000000,1.939340,0.515165,0.000000,0.606066,0.387502,0.664911,0.277409
child,moving-away,0.500000,0.000000,,0.000000,0.000000,0.000000,0.125000,1.400000,1.275000
child,crowded,0.500000,1.000000,3.000000,0.250000,1.000000,0.700000,0.387500,0.800000,0.412500
cyclist,head-on,0.460000,1.000000,1.750000,0.562500,0.000000,0.625000,0.330625,0.600000,0.269375
cyclist,crossing,0.460000,1.000000,1.939340,0.515165,0.000000,0.606066,0.324093,0.664911,0.340818
cyclist,moving-away,0.410000,0.000000,,0.000000,0.000000,0.000000,0.102500,1.400000,1.297500
cyclist,crowded,0.410000,1.000000,3.000000,0.250000,1.000000,0.700000,0.317750,0.800000,0.482250
vehicle,head-on,0.420000,1.000000,1.750000,0.562500,0.000000,0.625000,0.301875,0.600000,0.298125
vehicle,crossing,0.420000,1.000000,1.939340,0.515165,0.000000,0.606066,0.295911,0.664911,0.369000
vehicle,moving-away,0.370000,0.000000,,0.000000,0.000000,0.000000,0.092500,1.400000,1.307500
vehicle,crowded,0.370000,1.000000,3.000000,0.250000,1.000000,0.700000,0.286750,0.800000,0.513250
pedestrian,head-on,0.320000,1.000000,1.750000,0.562500,0.000000,0.625000,0.230000,0.600000,0.370000
pedestrian,crossing,0.320000,1.000000,1.939340,0.515165,0.000000,0.606066,0.225456,0.664911,0.439455
pedestrian,moving-away,0.270000,0.000000,,0.000000,0.000000,0.000000,0.067500,1.400000,1.332500
pedestrian,crowded,0.270000,1.000000,3.000000,0.250000,1.000000,0.700000,0.209250,0.800000,0.590750
unknown,head-on,0.380000,1.000000,1.750000,0.562500,0.000000,0.625000,0.273125,0.600000,0.326875
unknown,crossing,0.380000,1.000000,1.939340,0.515165,0.000000,0.606066,0.267729,0.664911,0.397182
unknown,moving-away,0.330000,0.000000,,0.000000,0.000000,0.000000,0.082500,1.400000,1.317500
unknown,crowded,0.330000,1.000000,3.000000,0.250000,1.000000,0.700000,0.255750,0.800000,0.544250
box,head-on,0.180000,1.000000,1.750000,0.562500,0.000000,0.625000,0.129375,0.600000,0.470625
box,crossing,0.180000,1.000000,1.939340,0.515165,0.000000,0.606066,0.126819,0.664911,0.538092
box,moving-away,0.130000,0.000000,,0.000000,0.000000,0.000000,0.032500,1.400000,1.367500
box,crowded,0.130000,1.000000,3.000000,0.250000,1.000000,0.700000,0.100750,0.800000,0.699250
