scenario,method,step,beta_requested,beta_limited,guard_upper_bound,beta_applied,delta_beta,h_ee,h_see,mpc_feasible,status
semantic_switch_unknown_to_child,G0_Category_only,0,0.100000,0.100000,0.500000,0.100000,0.100000,0.500000,0.400000,true,accept
semantic_switch_unknown_to_child,G0_Category_only,1,0.120000,0.120000,0.450000,0.120000,0.020000,0.450000,0.330000,true,accept
semantic_switch_unknown_to_child,G0_Category_only,2,0.480000,0.480000,0.280000,0.480000,0.360000,0.280000,-0.200000,false,accept
semantic_switch_unknown_to_child,G0_Category_only,3,0.500000,0.500000,0.240000,0.500000,0.020000,0.240000,-0.260000,false,accept
semantic_switch_unknown_to_child,G0_Category_only,4,0.520000,0.520000,0.200000,0.520000,0.020000,0.200000,-0.320000,false,accept
semantic_switch_unknown_to_child,G1_Context_only,0,0.100000,0.100000,0.500000,0.100000,0.100000,0.500000,0.400000,true,accept
semantic_switch_unknown_to_child,G1_Context_only,1,0.120000,0.120000,0.450000,0.120000,0.020000,0.450000,0.330000,true,accept
semantic_switch_unknown_to_child,G1_Context_only,2,0.480000,0.480000,0.280000,0.480000,0.360000,0.280000,-0.200000,false,accept
semantic_switch_unknown_to_child,G1_Context_only,3,0.500000,0.500000,0.240000,0.500000,0.020000,0.240000,-0.260000,false,accept
semantic_switch_unknown_to_child,G1_Context_only,4,0.520000,0.520000,0.200000,0.520000,0.020000,0.200000,-0.320000,false,accept
semantic_switch_unknown_to_child,G2_No_increment_limit,0,0.100000,0.100000,0.450000,0.100000,0.100000,0.500000,0.400000,true,accept
semantic_switch_unknown_to_child,G2_No_increment_limit,1,0.120000,0.120000,0.400000,0.120000,0.020000,0.450000,0.330000,true,accept
semantic_switch_unknown_to_child,G2_No_increment_limit,2,0.480000,0.480000,0.230000,0.120000,0.000000,0.280000,0.160000,true,fallback
semantic_switch_unknown_to_child,G2_No_increment_limit,3,0.500000,0.500000,0.190000,0.120000,0.000000,0.240000,0.120000,true,fallback
semantic_switch_unknown_to_child,G2_No_increment_limit,4,0.520000,0.520000,0.150000,0.150000,0.030000,0.200000,0.050000,true,project
semantic_switch_unknown_to_child,G3_No_projection,0,0.100000,0.050000,0.450000,0.050000,0.050000,0.500000,0.450000,true,accept
semantic_switch_unknown_to_child,G3_No_projection,1,0.120000,0.100000,0.400000,0.100000,0.050000,0.450000,0.350000,true,accept
semantic_switch_unknown_to_child,G3_No_projection,2,0.480000,0.150000,0.230000,0.150000,0.050000,0.280000,0.130000,true,accept
semantic_switch_unknown_to_child,G3_No_projection,3,0.500000,0.200000,0.190000,0.200000,0.050000,0.240000,0.040000,false,accept
semantic_switch_unknown_to_child,G3_No_projection,4,0.520000,0.250000,0.150000,0.250000,0.050000,0.200000,-0.050000,false,accept
semantic_switch_unknown_to_child,G4_No_feasibility_guard,0,0.100000,0.050000,0.450000,0.050000,0.050000,0.500000,0.450000,true,accept
semantic_switch_unknown_to_child,G4_No_feasibility_guard,1,0.120000,0.100000,0.400000,0.100000,0.050000,0.450000,0.350000,true,accept
semantic_switch_unknown_to_child,G4_No_feasibility_guard,2,0.480000,0.150000,0.230000,0.150000,0.050000,0.280000,0.130000,true,accept
semantic_switch_unknown_to_child,G4_No_feasibility_guard,3,0.500000,0.200000,0.190000,0.190000,0.040000,0.240000,0.050000,false,project
semantic_switch_unknown_to_child,G4_No_feasibility_guard,4,0.520000,0.240000,0.150000,0.150000,0.000000,0.200000,0.050000,true,project
semantic_switch_unknown_to_child,G5_Full_guard,0,0.100000,0.050000,0.450000,0.050000,0.050000,0.500000,0.450000,true,accept
semantic_switch_unknown_to_child,G5_Full_guard,1,0.120000,0.100000,0.400000,0.100000,0.050000,0.450000,0.350000,true,accept
semantic_switch_unknown_to_child,G5_Full_guard,2,0.480000,0.150000,0.230000,0.150000,0.050000,0.280000,0.130000,true,accept
semantic_switch_unknown_to_child,G5_Full_guard,3,0.500000,0.200000,0.190000,0.150000,0.000000,0.240000,0.090000,true,fallback
semantic_switch_unknown_to_child,G5_Full_guard,4,0.520000,0.200000,0.150000,0.150000,0.000000,0.200000,0.050000,true,project
