scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
head_on,context_int,Standard MPC-CBF,0,0.000,-2.200000,0.000000,0.000000,0.000000,0.000000,2.000000,0.080000,-0.500000,0.000000,unknown,walking,unknown,7.202830,1.000000,0.000000,4.200762,3.600762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.600762,3.600762,3.600762,3.600762,0.000000,horizon_mpc_secbf,4,3.119031,true,osqp,optimal,50,2.488764,0,2.479948,geometric,false,0.750000,0.000000,0.621017,-0.000000,,,0.621017,0.621017,0.062102,4.400000
head_on,context_int,Standard MPC-CBF,1,0.100,-2.137898,-0.000000,0.621017,-0.000000,-0.000000,1.950000,0.080000,-0.500000,0.000000,unknown,walking,unknown,3.112664,1.000000,0.000000,4.088681,3.488681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.488681,3.488681,3.488681,3.488681,0.000000,horizon_mpc_secbf,4,2.995501,true,osqp,optimal,50,2.892336,0,2.262814,geometric,false,0.750000,0.000000,0.726101,0.000000,,,0.726101,0.105085,0.134712,4.337898
head_on,context_int,Standard MPC-CBF,2,0.200,-2.065288,0.000000,0.726101,0.000000,0.000000,1.900000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.745923,1.000000,0.000000,3.966095,3.366095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.366095,3.366095,3.366095,3.366095,0.000000,horizon_mpc_secbf,4,2.871974,true,osqp,optimal,50,2.234354,0,2.130756,geometric,false,0.750000,-0.000000,0.735590,0.000000,,,0.735590,0.009489,0.208271,4.265288
head_on,context_int,Standard MPC-CBF,3,0.300,-1.991729,0.000000,0.735590,0.000000,0.000000,1.850000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.624871,1.000000,0.000000,3.842562,3.242562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.242562,3.242562,3.242562,3.242562,0.000000,horizon_mpc_secbf,4,2.748449,true,osqp,optimal,50,2.225937,0,2.007239,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000001,0.281830,4.191729
head_on,context_int,Standard MPC-CBF,4,0.400,-1.918170,0.000000,0.735591,0.000000,0.000000,1.800000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.524906,1.000000,0.000000,3.719031,3.119031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.119031,3.119031,3.119031,3.119031,0.000000,horizon_mpc_secbf,4,2.624927,true,osqp,optimal,50,2.095625,0,1.883725,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000000,0.355389,4.118170
head_on,context_int,Standard MPC-CBF,5,0.500,-1.844611,0.000000,0.735591,0.000000,0.000000,1.750000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.424946,1.000000,0.000000,3.595501,2.995501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.995501,2.995501,2.995501,2.995501,0.000000,horizon_mpc_secbf,4,2.501407,true,osqp,optimal,50,2.379003,0,1.760216,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000000,0.428948,4.044611
head_on,context_int,Standard MPC-CBF,6,0.600,-1.771052,0.000000,0.735591,0.000000,0.000000,1.700000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.324989,1.000000,0.000000,3.471974,2.871974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.871974,2.871974,2.871974,2.871974,0.000000,horizon_mpc_secbf,4,2.377891,true,osqp,optimal,50,2.954796,0,1.636710,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000000,0.502507,3.971052
head_on,context_int,Standard MPC-CBF,7,0.700,-1.697493,0.000000,0.735591,0.000000,0.000000,1.650000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.225034,1.000000,0.000000,3.348448,2.748448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.748448,2.748448,2.748448,2.748448,0.000000,horizon_mpc_secbf,4,2.254378,true,osqp,optimal,50,3.482762,0,1.513210,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000000,0.576066,3.897493
head_on,context_int,Standard MPC-CBF,8,0.800,-1.623934,0.000000,0.735591,0.000000,0.000000,1.600000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.125083,1.000000,0.000000,3.224926,2.624926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.624926,2.624926,2.624926,2.624926,0.000000,horizon_mpc_secbf,4,2.130870,true,osqp,optimal,50,3.015408,0,1.389715,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000000,0.649626,3.823934
head_on,context_int,Standard MPC-CBF,9,0.900,-1.550374,0.000000,0.735591,0.000000,0.000000,1.550000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.025135,1.000000,0.000000,3.101406,2.501406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.501406,2.501406,2.501406,2.501406,0.000000,horizon_mpc_secbf,4,2.007366,true,osqp,optimal,50,2.163248,0,1.266226,geometric,false,0.750000,-0.000000,0.735591,0.000000,,,0.735591,0.000000,0.723185,3.750374
