scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
crossing,context_bl,Standard MPC-CBF,0,0.000,-2.000000,-0.250000,0.000000,0.000000,0.000000,0.100000,-1.800000,0.000000,0.580000,pedestrian,walking,unknown,5.835878,1.000000,0.000000,2.610077,2.010077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.010077,2.010077,2.010077,2.010077,0.000000,horizon_mpc_secbf,12,0.908921,true,osqp,optimal,100,4.749035,0,1.165992,geometric,false,0.750000,0.000000,0.621014,0.000002,,,0.621014,0.621014,0.062101,4.000000
crossing,context_bl,Standard MPC-CBF,1,0.100,-1.937899,-0.250000,0.621014,0.000002,0.000004,0.100000,-1.742000,0.000000,0.580000,pedestrian,walking,unknown,2.282434,1.000000,0.000000,2.525687,1.925687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.925687,1.925687,1.925687,1.925687,0.000000,horizon_mpc_secbf,12,0.821235,true,osqp,optimal,100,6.113042,0,0.997193,geometric,false,0.750000,-0.000000,0.726104,-0.000000,,,0.726104,0.105090,0.134712,3.937899
crossing,context_bl,Standard MPC-CBF,2,0.200,-1.865288,-0.250000,0.726104,-0.000000,-0.000000,0.100000,-1.684000,0.000000,0.580000,pedestrian,walking,unknown,1.974128,1.000000,0.000000,2.432841,1.832841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.832841,1.832841,1.832841,1.832841,0.000000,horizon_mpc_secbf,12,0.735539,true,osqp,optimal,125,4.637002,0,0.896750,geometric,false,0.750000,-0.000000,0.735587,0.000001,,,0.735587,0.009483,0.208270,3.865288
crossing,context_bl,Standard MPC-CBF,3,0.300,-1.791730,-0.250000,0.735587,0.000001,0.000002,0.100000,-1.626000,0.000000,0.580000,pedestrian,walking,unknown,1.858082,1.000000,0.000000,2.339234,1.739234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.739234,1.739234,1.739234,1.739234,0.000000,horizon_mpc_secbf,12,0.651645,true,osqp,optimal,125,6.305562,0,0.803198,geometric,false,0.750000,-0.000000,0.735587,0.000003,,,0.735587,0.000002,0.281829,3.791730
crossing,context_bl,Standard MPC-CBF,4,0.400,-1.718171,-0.249999,0.735587,0.000003,0.000004,0.100000,-1.568000,0.000000,0.580000,pedestrian,walking,unknown,1.758200,1.000000,0.000000,2.245634,1.645634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.645634,1.645634,1.645634,1.645634,0.000000,horizon_mpc_secbf,12,0.569982,true,osqp,optimal,125,4.831586,0,0.709662,geometric,false,0.750000,-0.000000,0.735587,0.000011,,,0.735587,0.000008,0.355388,3.718171
crossing,context_bl,Standard MPC-CBF,5,0.500,-1.644612,-0.249998,0.735587,0.000011,0.000014,0.100000,-1.510000,0.000000,0.580000,pedestrian,walking,unknown,1.658333,1.000000,0.000000,2.152040,1.552040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.552040,1.552040,1.552040,1.552040,0.000000,horizon_mpc_secbf,12,0.490494,true,osqp,optimal,125,5.643637,0,0.616163,geometric,false,0.750000,-0.000000,0.735587,0.000056,,,0.735587,0.000045,0.428947,3.644612
crossing,context_bl,Standard MPC-CBF,6,0.600,-1.571053,-0.249993,0.735587,0.000056,0.000076,0.100000,-1.452000,0.000000,0.580000,pedestrian,walking,unknown,1.558513,1.000000,0.000000,2.058456,1.458456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.458456,1.458456,1.458456,1.458456,0.000000,horizon_mpc_secbf,12,0.413200,true,osqp,optimal,125,5.150433,0,0.522807,geometric,false,0.750000,-0.000002,0.735588,0.000315,,,0.735588,0.000260,0.502505,3.571053
crossing,context_bl,Standard MPC-CBF,7,0.700,-1.497495,-0.249961,0.735588,0.000315,0.000429,0.100000,-1.394000,0.000000,0.580000,pedestrian,walking,unknown,1.458906,1.000000,0.000000,1.964895,1.364895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.364895,1.364895,1.364895,1.364895,0.000000,horizon_mpc_secbf,12,0.338147,true,osqp,optimal,100,4.585921,0,0.430185,geometric,false,0.750000,-0.000008,0.735601,0.001794,,,0.735603,0.001479,0.576066,3.497495
crossing,context_bl,Standard MPC-CBF,8,0.800,-1.423935,-0.249782,0.735601,0.001794,0.002439,0.100000,-1.336000,0.000000,0.580000,pedestrian,walking,unknown,1.360378,1.000000,0.000000,1.871429,1.271429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.271429,1.271429,1.271429,1.271429,0.000000,horizon_mpc_secbf,12,0.265396,true,osqp,optimal,100,5.947858,0,0.341664,geometric,false,0.750000,-0.000048,0.735595,0.010141,,,0.735665,0.008347,0.649632,3.423935
crossing,context_bl,Standard MPC-CBF,9,0.900,-1.350375,-0.248768,0.735595,0.010141,0.013786,0.100000,-1.278000,0.000000,0.580000,pedestrian,walking,unknown,1.267586,1.000000,0.000000,1.778456,1.178456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.178456,1.178456,1.178456,1.178456,0.000000,horizon_mpc_secbf,12,0.194846,true,osqp,optimal,100,5.163299,0,0.261849,geometric,false,0.750000,-0.000276,0.735589,0.032732,,,0.736317,0.022591,0.723264,3.350375
crossing,context_bl,Standard MPC-CBF,10,1.000,-1.276816,-0.245494,0.735589,0.032732,0.044468,0.100000,-1.220000,0.000000,0.580000,pedestrian,walking,attentive,1.185707,1.000000,0.000000,1.686797,1.086797,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.086797,1.086797,1.086797,1.086797,0.000000,horizon_mpc_secbf,12,0.126127,true,osqp,optimal,100,5.797991,0,0.184198,geometric,false,0.749999,-0.001031,0.735586,0.056929,,,0.737785,0.024198,0.797042,3.276819
crossing,context_bl,Standard MPC-CBF,11,1.100,-1.203258,-0.239801,0.735586,0.056929,0.077239,0.100000,-1.162000,0.000000,0.580000,pedestrian,walking,attentive,1.104075,1.000000,0.000000,1.596537,0.996537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.996537,0.996537,0.996537,0.996537,0.000000,horizon_mpc_secbf,12,0.059262,true,osqp,optimal,100,5.952649,0,0.107512,geometric,false,0.749996,-0.002388,0.735586,0.080429,,,0.739970,0.023500,0.871039,3.203274
crossing,context_bl,Standard MPC-CBF,12,1.200,-1.129699,-0.231759,0.735586,0.080429,0.108908,0.100000,-1.104000,0.000000,0.580000,pedestrian,walking,attentive,1.020956,1.000000,0.000000,1.507635,0.907635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.907635,0.907635,0.907635,0.907635,0.000005,horizon_mpc_secbf,12,0.000068,true,osqp,optimal,75,3.882847,0,0.033576,geometric,false,0.749987,-0.004371,0.735597,0.106268,,,0.743233,0.025839,0.945363,3.129752
crossing,context_bl,Standard MPC-CBF,13,1.300,-1.056139,-0.221132,0.735597,0.106268,0.143472,0.100000,-1.046000,0.000000,0.580000,pedestrian,walking,attentive,0.938533,1.000000,0.000000,1.420234,0.820234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.820234,0.820234,0.820234,0.820234,0.000060,horizon_mpc_secbf,12,-0.000060,true,osqp,optimal,50,5.685382,0,0.001798,geometric,false,0.749967,-0.007084,0.708991,0.164462,,,0.727816,0.063988,1.018144,3.056276
crossing,context_bl,Standard MPC-CBF,14,1.400,-0.985240,-0.204686,0.708991,0.164462,0.227935,0.100000,-0.988000,0.000000,0.580000,pedestrian,walking,attentive,0.902607,1.000000,0.000000,1.338405,0.738405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.738405,0.738405,0.738405,0.738405,0.000107,horizon_mpc_secbf,12,-0.000103,true,osqp,optimal,50,4.642641,0,-0.024947,geometric,false,0.749914,-0.011383,0.684732,0.224181,,,0.720497,0.064458,1.090194,2.985584
crossing,context_bl,Standard MPC-CBF,15,1.500,-0.916767,-0.182267,0.684732,0.224181,0.316401,0.100000,-0.930000,0.000000,0.580000,pedestrian,walking,attentive,0.868419,1.000000,0.000000,1.262109,0.662109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.662109,0.662109,0.662109,0.662109,0.000152,horizon_mpc_secbf,12,0.000063,true,osqp,optimal,50,5.036682,0,-0.052910,geometric,false,0.749798,-0.017412,0.669811,0.283662,,,0.727400,0.061324,1.162934,2.917553
