scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
head_on,context_ext,Standard MPC-CBF,0,0.000,-2.200000,0.000000,0.000000,0.000000,0.000000,2.000000,0.080000,-0.500000,0.000000,unknown,walking,unknown,7.202830,1.000000,0.625000,4.200762,3.600762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.600762,3.600762,3.600762,3.600762,0.000000,horizon_mpc_secbf,12,2.130875,true,osqp,optimal,100,5.213914,0,2.479951,geometric,false,0.750000,0.000000,0.621014,-0.000000,,,0.621014,0.621014,0.062101,4.400000
head_on,context_ext,Standard MPC-CBF,1,0.100,-2.137899,-0.000000,0.621014,-0.000000,-0.000000,1.950000,0.080000,-0.500000,0.000000,unknown,walking,unknown,3.112671,1.000000,0.625000,4.088681,3.488681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.488681,3.488681,3.488681,3.488681,0.000000,horizon_mpc_secbf,12,2.007369,true,osqp,optimal,125,5.664778,0,2.262814,geometric,false,0.750000,0.000000,0.726102,0.000000,,,0.726102,0.105087,0.134712,4.337899
head_on,context_ext,Standard MPC-CBF,2,0.200,-2.065288,-0.000000,0.726102,0.000000,0.000000,1.900000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.745923,1.000000,0.625000,3.966095,3.366095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.366095,3.366095,3.366095,3.366095,0.000000,horizon_mpc_secbf,12,1.883857,true,osqp,optimal,125,5.844709,0,2.130745,geometric,false,0.750000,0.000000,0.735602,0.000000,,,0.735602,0.009501,0.208272,4.265288
head_on,context_ext,Standard MPC-CBF,3,0.300,-1.991728,-0.000000,0.735602,0.000000,0.000000,1.850000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.624845,1.000000,0.625000,3.842561,3.242561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.242561,3.242561,3.242561,3.242561,0.000000,horizon_mpc_secbf,12,1.760364,true,osqp,optimal,125,5.718693,0,2.007226,geometric,false,0.750000,0.000000,0.735603,0.000000,,,0.735603,0.000001,0.281832,4.191728
head_on,context_ext,Standard MPC-CBF,4,0.400,-1.918168,0.000000,0.735603,0.000000,0.000000,1.800000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.524881,1.000000,0.625000,3.719028,3.119028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.119028,3.119028,3.119028,3.119028,0.000000,horizon_mpc_secbf,12,1.636878,true,osqp,optimal,125,5.561679,0,1.883712,geometric,false,0.750000,-0.000000,0.735603,0.000000,,,0.735603,0.000000,0.355392,4.118168
head_on,context_ext,Standard MPC-CBF,5,0.500,-1.844608,0.000000,0.735603,0.000000,0.000000,1.750000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.424921,1.000000,0.625000,3.595498,2.995498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.995498,2.995498,2.995498,2.995498,0.000000,horizon_mpc_secbf,12,1.513402,true,osqp,optimal,125,5.941353,0,1.760201,geometric,false,0.750000,-0.000000,0.735603,0.000000,,,0.735603,0.000000,0.428953,4.044608
head_on,context_ext,Standard MPC-CBF,6,0.600,-1.771047,0.000000,0.735603,0.000000,0.000000,1.700000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.324964,1.000000,0.625000,3.471969,2.871969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.871969,2.871969,2.871969,2.871969,0.000000,horizon_mpc_secbf,12,1.389936,true,osqp,optimal,125,5.729780,0,1.636694,geometric,false,0.750000,-0.000000,0.735603,0.000000,,,0.735603,0.000000,0.502513,3.971047
head_on,context_ext,Standard MPC-CBF,7,0.700,-1.697487,0.000000,0.735603,0.000000,0.000000,1.650000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.225009,1.000000,0.625000,3.348443,2.748443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.748443,2.748443,2.748443,2.748443,0.000000,horizon_mpc_secbf,12,1.266482,true,osqp,optimal,125,6.180755,0,1.513193,geometric,false,0.750000,-0.000000,0.735603,0.000000,,,0.735603,0.000000,0.576073,3.897487
head_on,context_ext,Standard MPC-CBF,8,0.800,-1.623927,0.000000,0.735603,0.000000,0.000000,1.600000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.125058,1.000000,0.625000,3.224919,2.624919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.624919,2.624919,2.624919,2.624919,0.000000,horizon_mpc_secbf,12,1.143139,true,osqp,optimal,125,5.988852,0,1.389697,geometric,false,0.750000,-0.000000,0.735603,0.000000,,,0.735603,0.000000,0.649633,3.823927
head_on,context_ext,Standard MPC-CBF,9,0.900,-1.550367,0.000000,0.735603,0.000000,0.000000,1.550000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.025110,1.000000,0.625000,3.101399,2.501399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.501399,2.501399,2.501399,2.501399,0.000000,horizon_mpc_secbf,12,1.020011,true,osqp,optimal,125,6.118118,0,1.266207,geometric,false,0.750000,-0.000000,0.735603,0.000000,,,0.735603,0.000000,0.723194,3.750367
head_on,context_ext,Standard MPC-CBF,10,1.000,-1.476806,0.000000,0.735603,0.000000,0.000000,1.500000,0.080000,-0.500000,0.000000,unknown,walking,unknown,1.925166,1.000000,0.625000,2.977881,2.377881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.377881,2.377881,2.377881,2.377881,0.000000,horizon_mpc_secbf,12,0.897184,true,osqp,optimal,125,6.148960,0,1.142725,geometric,false,0.750000,-0.000000,0.735602,0.000000,,,0.735602,0.000000,0.796754,3.676806
head_on,context_ext,Standard MPC-CBF,11,1.100,-1.403246,0.000000,0.735602,0.000000,0.000000,1.450000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.825226,1.000000,0.625000,2.854367,2.254367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.254367,2.254367,2.254367,2.254367,0.000000,horizon_mpc_secbf,12,0.774801,true,osqp,optimal,125,5.053087,0,1.019251,geometric,false,0.750000,-0.000000,0.735602,0.000000,,,0.735602,0.000000,0.870314,3.603246
head_on,context_ext,Standard MPC-CBF,12,1.200,-1.329686,0.000000,0.735602,0.000000,0.000000,1.400000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.725291,1.000000,0.625000,2.730858,2.130858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.130858,2.130858,2.130858,2.130858,0.000000,horizon_mpc_secbf,12,0.653210,true,osqp,optimal,125,5.788480,0,0.895788,geometric,false,0.750000,-0.000000,0.735601,-0.000000,,,0.735601,0.000001,0.943874,3.529686
head_on,context_ext,Standard MPC-CBF,13,1.300,-1.256126,0.000000,0.735601,-0.000000,-0.000000,1.350000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.625363,1.000000,0.625000,2.607353,2.007353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.007353,2.007353,2.007353,2.007353,0.000000,horizon_mpc_secbf,12,0.533912,true,osqp,optimal,125,4.443656,0,0.772349,geometric,false,0.750000,-0.000000,0.735586,-0.000000,,,0.735586,0.000014,1.017433,3.456126
head_on,context_ext,Standard MPC-CBF,14,1.400,-1.182567,-0.000000,0.735586,-0.000000,-0.000000,1.300000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.525457,1.000000,0.625000,2.483856,1.883856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.883856,1.883856,1.883856,1.883856,0.000000,horizon_mpc_secbf,12,0.417272,true,osqp,optimal,125,3.951833,0,0.648910,geometric,false,0.750000,0.000000,0.735587,-0.000003,,,0.735587,0.000003,1.090992,3.382567
head_on,context_ext,Standard MPC-CBF,15,1.500,-1.109008,-0.000000,0.735587,-0.000003,-0.000004,1.250000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.425538,1.000000,0.625000,2.360365,1.760365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.760365,1.760365,1.760365,1.760365,0.000000,horizon_mpc_secbf,12,0.303957,true,osqp,optimal,125,3.776552,0,0.525487,geometric,false,0.750000,0.000000,0.735588,-0.000018,,,0.735588,0.000015,1.164550,3.309008
head_on,context_ext,Standard MPC-CBF,16,1.600,-1.035450,-0.000002,0.735588,-0.000018,-0.000025,1.200000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.325627,1.000000,0.625000,2.236881,1.636881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.636881,1.636881,1.636881,1.636881,0.000000,horizon_mpc_secbf,12,0.195057,true,osqp,optimal,125,3.956892,0,0.402086,geometric,false,0.750000,0.000000,0.735589,-0.000105,,,0.735589,0.000087,1.238109,3.235450
head_on,context_ext,Standard MPC-CBF,17,1.700,-0.961891,-0.000013,0.735589,-0.000105,-0.000143,1.150000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.225729,1.000000,0.625000,2.113406,1.513406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.513406,1.513406,1.513406,1.513406,0.000000,horizon_mpc_secbf,12,0.092334,true,osqp,optimal,100,3.661037,0,0.278740,geometric,false,0.750000,0.000003,0.735575,-0.000606,,,0.735575,0.000501,1.311667,3.161891
head_on,context_ext,Standard MPC-CBF,18,1.800,-0.888333,-0.000073,0.735575,-0.000606,-0.000824,1.100000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.125872,1.000000,0.625000,1.989945,1.389945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.389945,1.389945,1.389945,1.389945,0.000003,horizon_mpc_secbf,12,0.000037,true,osqp,optimal,75,4.106830,0,0.155526,geometric,false,0.750000,0.000018,0.735604,-0.004521,,,0.735618,0.003915,1.385229,3.088333
head_on,context_ext,Standard MPC-CBF,19,1.900,-0.814773,-0.000525,0.735604,-0.004521,-0.006146,1.050000,0.080000,-0.500000,0.000000,child,approaching,distracted,1.026131,1.000000,0.625000,1.866511,1.266511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.266511,1.266511,1.266511,1.266511,0.000075,horizon_mpc_secbf,12,-0.000075,true,osqp,optimal,50,3.777696,0,0.072522,geometric,false,0.750000,0.000131,0.697683,-0.058048,,,0.700094,0.065598,1.455238,3.014773
head_on,context_ext,Standard MPC-CBF,20,2.000,-0.745004,-0.006330,0.697683,-0.058048,-0.083010,1.000000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.961274,1.000000,0.625000,1.747139,1.147139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.147139,1.147139,1.147139,1.147139,0.000120,horizon_mpc_secbf,12,-0.000120,true,osqp,optimal,50,4.472999,0,-0.019889,geometric,false,0.749998,0.001612,0.675087,-0.131614,,,0.687797,0.076958,1.524018,2.945011
head_on,context_ext,Standard MPC-CBF,21,2.100,-0.677496,-0.019492,0.675087,-0.131614,-0.192543,0.950000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.884680,1.000000,0.625000,1.630534,1.030534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.030534,1.030534,1.030534,1.030534,0.000144,horizon_mpc_secbf,12,0.000021,true,osqp,optimal,75,3.911509,0,-0.137128,geometric,false,0.749983,0.005080,0.682163,-0.199188,,,0.710649,0.067944,1.595083,2.877562
head_on,context_ext,Standard MPC-CBF,22,2.200,-0.609280,-0.039410,0.682163,-0.199188,-0.284096,0.900000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.786050,1.000000,0.625000,1.513996,0.913996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.913996,0.913996,0.913996,0.913996,0.000088,horizon_mpc_secbf,12,-0.000020,true,osqp,optimal,225,4.519163,0,-0.252054,geometric,false,0.749926,0.010520,0.689299,-0.246687,,,0.732112,0.048033,1.668294,2.809556
head_on,context_ext,Standard MPC-CBF,23,2.300,-0.540350,-0.064079,0.689299,-0.246687,-0.343679,0.850000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.689218,1.000000,0.625000,1.397795,0.797795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.797795,0.797795,0.797795,0.797795,0.000099,horizon_mpc_secbf,12,0.000005,true,osqp,optimal,175,4.385958,0,-0.346548,geometric,false,0.749795,0.017533,0.679712,-0.281217,,,0.735589,0.035837,1.741853,2.741099
head_on,context_ext,Standard MPC-CBF,24,2.400,-0.472378,-0.092201,0.679712,-0.281217,-0.392287,0.800000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.604574,1.000000,0.625000,1.283978,0.683978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.683978,0.683978,0.683978,0.683978,0.000114,horizon_mpc_secbf,12,0.000016,true,osqp,optimal,175,5.583670,0,-0.430195,geometric,false,0.749554,0.025861,0.666743,-0.312526,,,0.736355,0.033889,1.815488,2.673969
head_on,context_ext,Standard MPC-CBF,25,2.500,-0.405704,-0.123453,0.666743,-0.312526,-0.438325,0.750000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.523775,1.000000,0.625000,1.173476,0.573476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.573476,0.573476,0.573476,0.573476,0.000131,horizon_mpc_secbf,12,0.000019,true,osqp,optimal,100,4.382569,0,-0.503433,geometric,false,0.749160,0.035494,0.654028,-0.343247,,,0.738628,0.033248,1.889351,2.608627
head_on,context_ext,Standard MPC-CBF,26,2.600,-0.340301,-0.157778,0.654028,-0.343247,-0.483306,0.700000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.445508,1.000000,0.625000,1.067130,0.467130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.467130,0.467130,0.467130,0.467130,0.000149,horizon_mpc_secbf,12,0.000011,true,osqp,optimal,125,3.960169,0,-0.562447,geometric,false,0.748558,0.046493,0.641593,-0.373245,,,0.742262,0.032473,1.963577,2.545196
head_on,context_ext,Standard MPC-CBF,27,2.700,-0.276142,-0.195103,0.641593,-0.373245,-0.526890,0.650000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.370563,1.000000,0.625000,0.966137,0.366137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366137,0.366137,0.366137,0.366137,0.000170,horizon_mpc_secbf,12,0.000001,true,osqp,optimal,225,5.650359,0,-0.602826,geometric,false,0.747683,0.058912,0.630097,-0.400997,,,0.746875,0.030039,2.038265,2.483817
head_on,context_ext,Standard MPC-CBF,28,2.800,-0.213132,-0.235202,0.630097,-0.400997,-0.566759,0.600000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.299403,1.000000,0.625000,0.872088,0.272088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.272088,0.272088,0.272088,0.272088,0.000193,horizon_mpc_secbf,12,-0.000008,true,osqp,optimal,125,4.438650,0,-0.624164,geometric,false,0.746463,0.072756,0.623141,-0.417142,,,0.749874,0.017579,2.113252,2.424568
head_on,context_ext,Standard MPC-CBF,29,2.900,-0.150818,-0.276916,0.623141,-0.417142,-0.589905,0.550000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.229780,1.000000,0.625000,0.786470,0.186470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186470,0.186470,0.186470,0.186470,0.000218,horizon_mpc_secbf,12,-0.000017,true,osqp,optimal,125,4.671419,0,-0.602581,geometric,false,0.744850,0.087740,0.606601,-0.433684,,,0.745685,0.023393,2.187821,2.367072
head_on,context_ext,Standard MPC-CBF,30,3.000,-0.090158,-0.320285,0.606601,-0.433684,-0.620683,0.500000,0.080000,-0.500000,0.000000,child,approaching,distracted,0.168213,1.000000,0.625000,0.713102,0.113102,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113102,0.113102,0.113102,0.113102,0.000244,horizon_mpc_secbf,12,-0.000036,true,osqp,optimal,150,5.308572,0,-0.537055,geometric,false,0.742771,0.103879,0.590780,-0.449505,,,0.742345,0.022375,2.262055,2.312446
