scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
local_crowding,context_int,Standard MPC-CBF,0,0.000,-2.200000,-0.350000,0.000000,0.000000,0.000000,0.150000,-1.100000,-0.060000,0.420000,pedestrian,walking,unknown,10.098536,1.000000,1.000000,2.466779,1.866779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.866779,1.866779,1.866779,1.866779,0.000000,horizon_mpc_secbf,12,0.834700,true,osqp,optimal,175,4.170821,0,1.090306,geometric,false,0.750000,0.000000,0.621016,0.000000,,,0.621016,0.621016,0.062102,4.400000
local_crowding,context_int,Standard MPC-CBF,1,0.100,-2.137898,-0.350000,0.621016,0.000000,0.000000,0.144000,-1.058000,-0.060000,0.420000,pedestrian,walking,unknown,2.308992,1.000000,1.000000,2.389210,1.789210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.789210,1.789210,1.789210,1.789210,0.000000,horizon_mpc_secbf,12,0.750775,true,osqp,optimal,125,3.863014,0,0.913956,geometric,false,0.750000,-0.000000,0.726102,0.000000,,,0.726102,0.105086,0.134712,4.337898
local_crowding,context_int,Standard MPC-CBF,2,0.200,-2.065288,-0.350000,0.726102,0.000000,0.000000,0.138000,-1.016000,-0.060000,0.420000,pedestrian,walking,unknown,1.947074,1.000000,1.000000,2.301746,1.701746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.701746,1.701746,1.701746,1.701746,0.000000,horizon_mpc_secbf,12,0.667739,true,osqp,optimal,125,5.684083,0,0.818664,geometric,false,0.750000,-0.000000,0.735588,0.000001,,,0.735588,0.009486,0.208271,4.265288
local_crowding,context_int,Standard MPC-CBF,3,0.300,-1.991729,-0.350000,0.735588,0.000001,0.000001,0.132000,-0.974000,-0.060000,0.420000,pedestrian,walking,unknown,1.829949,1.000000,1.000000,2.213505,1.613505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.613505,1.613505,1.613505,1.613505,0.000000,horizon_mpc_secbf,12,0.586075,true,osqp,optimal,125,6.016429,0,0.731786,geometric,false,0.750000,-0.000000,0.735588,0.000009,,,0.735588,0.000008,0.281830,4.191729
local_crowding,context_int,Standard MPC-CBF,4,0.400,-1.918170,-0.349999,0.735588,0.000009,0.000013,0.126000,-0.932000,-0.060000,0.420000,pedestrian,walking,unknown,1.733052,1.000000,1.000000,2.125408,1.525408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.525408,1.525408,1.525408,1.525408,0.000000,horizon_mpc_secbf,12,0.505661,true,osqp,optimal,125,3.840561,0,0.645235,geometric,false,0.750000,-0.000000,0.735589,0.000058,,,0.735589,0.000048,0.355388,4.118170
local_crowding,context_int,Standard MPC-CBF,5,0.500,-1.844612,-0.349993,0.735589,0.000058,0.000078,0.120000,-0.890000,-0.060000,0.420000,pedestrian,walking,unknown,1.636400,1.000000,1.000000,2.037475,1.437475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.437475,1.437475,1.437475,1.437475,0.000000,horizon_mpc_secbf,12,0.426411,true,osqp,optimal,125,4.761990,0,0.559110,geometric,false,0.750000,-0.000001,0.735589,0.000331,,,0.735589,0.000273,0.428947,4.044612
local_crowding,context_int,Standard MPC-CBF,6,0.600,-1.771053,-0.349960,0.735589,0.000331,0.000449,0.114000,-0.848000,-0.060000,0.420000,pedestrian,walking,unknown,1.540098,1.000000,1.000000,1.949735,1.349735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.349735,1.349735,1.349735,1.349735,0.000000,horizon_mpc_secbf,12,0.348264,true,osqp,optimal,175,4.193041,0,0.473749,geometric,false,0.750000,-0.000008,0.735573,0.001873,,,0.735575,0.001543,0.502505,3.971053
local_crowding,context_int,Standard MPC-CBF,7,0.700,-1.697495,-0.349773,0.735573,0.001873,0.002546,0.108000,-0.806000,-0.060000,0.420000,pedestrian,walking,unknown,1.444606,1.000000,1.000000,1.862245,1.262245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.262245,1.262245,1.262245,1.262245,0.000000,horizon_mpc_secbf,12,0.271128,true,osqp,optimal,175,4.276540,0,0.390609,geometric,false,0.750000,-0.000044,0.735576,0.010575,,,0.735652,0.008702,0.576070,3.897495
local_crowding,context_int,Standard MPC-CBF,8,0.800,-1.623938,-0.348715,0.735576,0.010575,0.014375,0.102000,-0.764000,-0.060000,0.420000,pedestrian,walking,unknown,1.351919,1.000000,1.000000,1.775196,1.175196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.175196,1.175196,1.175196,1.175196,0.000000,horizon_mpc_secbf,12,0.194883,true,osqp,optimal,175,4.725589,0,0.310881,geometric,false,0.750000,-0.000252,0.735580,0.031810,,,0.736267,0.021236,0.649697,3.823938
local_crowding,context_int,Standard MPC-CBF,9,0.900,-1.550380,-0.345534,0.735580,0.031810,0.043218,0.096000,-0.722000,-0.060000,0.420000,pedestrian,crossing,distracted,1.263057,1.000000,1.000000,1.688873,1.088873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.088873,1.088873,1.088873,1.088873,0.000000,horizon_mpc_secbf,12,0.119331,true,osqp,optimal,175,4.247942,0,0.231854,geometric,false,0.749999,-0.000893,0.735581,0.054580,,,0.737603,0.022770,0.723457,3.750382
