scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
head_on,context_bl,Standard MPC-CBF,0,0.000,-2.200000,0.000000,0.000000,0.000000,0.000000,2.000000,0.080000,-0.500000,0.000000,unknown,walking,unknown,7.202830,1.000000,0.000000,4.200762,3.600762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.600762,3.600762,3.600762,3.600762,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,63.013340,0,2.365393,geometric,false,0.750000,0.000000,0.735593,0.000000,,,0.735593,0.735593,0.073559,4.400000
head_on,context_bl,Standard MPC-CBF,1,0.100,-2.126441,0.000000,0.735593,0.000000,0.000000,1.950000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.814757,1.000000,0.000000,4.077226,3.477226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.477226,3.477226,3.477226,3.477226,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.791097,0,2.241870,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.147119,4.326441
head_on,context_bl,Standard MPC-CBF,2,0.200,-2.052881,0.000000,0.735593,0.000000,0.000000,1.900000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.714791,1.000000,0.000000,3.953691,3.353691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.353691,3.353691,3.353691,3.353691,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.680701,0,2.118351,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.220678,4.252881
head_on,context_bl,Standard MPC-CBF,3,0.300,-1.979322,0.000000,0.735593,0.000000,0.000000,1.850000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.614827,1.000000,0.000000,3.830158,3.230158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.230158,3.230158,3.230158,3.230158,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.694952,0,1.994834,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.294237,4.179322
head_on,context_bl,Standard MPC-CBF,4,0.400,-1.905763,0.000000,0.735593,0.000000,0.000000,1.800000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.514865,1.000000,0.000000,3.706626,3.106626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.106626,3.106626,3.106626,3.106626,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.793655,0,1.871321,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.367797,4.105763
head_on,context_bl,Standard MPC-CBF,5,0.500,-1.832203,0.000000,0.735593,0.000000,0.000000,1.750000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.414905,1.000000,0.000000,3.583097,2.983097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.983097,2.983097,2.983097,2.983097,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.797719,0,1.747811,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.441356,4.032203
head_on,context_bl,Standard MPC-CBF,6,0.600,-1.758644,0.000000,0.735593,0.000000,0.000000,1.700000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.314948,1.000000,0.000000,3.459569,2.859569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.859569,2.859569,2.859569,2.859569,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.958364,0,1.624306,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.514915,3.958644
head_on,context_bl,Standard MPC-CBF,7,0.700,-1.685085,0.000000,0.735593,0.000000,0.000000,1.650000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.214994,1.000000,0.000000,3.336044,2.736044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.736044,2.736044,2.736044,2.736044,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.839536,0,1.500806,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.588475,3.885085
head_on,context_bl,Standard MPC-CBF,8,0.800,-1.611525,0.000000,0.735593,0.000000,0.000000,1.600000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.115042,1.000000,0.000000,3.212522,2.612522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.612522,2.612522,2.612522,2.612522,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.822120,0,1.377312,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.662034,3.811525
head_on,context_bl,Standard MPC-CBF,9,0.900,-1.537966,0.000000,0.735593,0.000000,0.000000,1.550000,0.080000,-0.500000,0.000000,unknown,walking,unknown,2.015095,1.000000,0.000000,3.089002,2.489002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.489002,2.489002,2.489002,2.489002,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.845421,0,1.253823,geometric,false,0.750000,-0.000000,0.735593,0.000000,,,0.735593,0.000000,0.735593,3.737966
