scenario,context_level,method,step,time,robot_x,robot_y,robot_vx,robot_vy,robot_theta,human_x,human_y,human_vx,human_vy,human_type,motion_state,attention_state,ttc,head_on_factor,crowding_factor,distance,clearance,beta_candidate,beta_final,beta_requested,beta_applied,beta_dynamic,beta_cbf,delta_beta,h_standard,h_ee,h_see,h_cbf,slack,controller_type,horizon_steps,predicted_min_h,solver_success,solver_backend,solver_status,solver_iterations,solve_time_ms,active_constraints,min_cbf_value,guard_status,guard_active,u_ref_x,u_ref_y,cmd_vx,cmd_vy,cmd_v,cmd_omega,speed,command_step,path_length,goal_error
local_crowding,context_int,Standard MPC-CBF,0,0.000,-2.200000,-0.350000,0.000000,0.000000,0.000000,0.150000,-1.100000,-0.060000,0.420000,pedestrian,walking,unknown,10.098536,1.000000,1.000000,2.466779,1.866779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.866779,1.866779,1.866779,1.866779,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.823185,0,0.981153,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.735593,0.073559,4.400000
local_crowding,context_int,Standard MPC-CBF,1,0.100,-2.126441,-0.350000,0.735593,-0.000000,-0.000000,0.144000,-1.058000,-0.060000,0.420000,pedestrian,walking,unknown,2.010357,1.000000,1.000000,2.378269,1.778269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.778269,1.778269,1.778269,1.778269,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.206247,0,0.893715,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.147119,4.326441
local_crowding,context_int,Standard MPC-CBF,2,0.200,-2.052881,-0.350000,0.735593,-0.000000,-0.000000,0.138000,-1.016000,-0.060000,0.420000,pedestrian,walking,unknown,1.913017,1.000000,1.000000,2.289873,1.689873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.689873,1.689873,1.689873,1.689873,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.115806,0,0.806518,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.220678,4.252881
local_crowding,context_int,Standard MPC-CBF,3,0.300,-1.979322,-0.350000,0.735593,-0.000000,-0.000000,0.132000,-0.974000,-0.060000,0.420000,pedestrian,walking,unknown,1.815858,1.000000,1.000000,2.201603,1.601603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.601603,1.601603,1.601603,1.601603,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.198979,0,0.719594,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.294237,4.179322
local_crowding,context_int,Standard MPC-CBF,4,0.400,-1.905763,-0.350000,0.735593,-0.000000,-0.000000,0.126000,-0.932000,-0.060000,0.420000,pedestrian,walking,unknown,1.718901,1.000000,1.000000,2.113477,1.513477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.513477,1.513477,1.513477,1.513477,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.596738,0,0.632986,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.367797,4.105763
local_crowding,context_int,Standard MPC-CBF,5,0.500,-1.832203,-0.350000,0.735593,-0.000000,-0.000000,0.120000,-0.890000,-0.060000,0.420000,pedestrian,walking,unknown,1.622166,1.000000,1.000000,2.025512,1.425512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.425512,1.425512,1.425512,1.425512,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.828674,0,0.546741,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.441356,4.032203
local_crowding,context_int,Standard MPC-CBF,6,0.600,-1.758644,-0.350000,0.735593,-0.000000,-0.000000,0.114000,-0.848000,-0.060000,0.420000,pedestrian,walking,unknown,1.525678,1.000000,1.000000,1.937731,1.337731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.337731,1.337731,1.337731,1.337731,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.707305,0,0.460920,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.514915,3.958644
local_crowding,context_int,Standard MPC-CBF,7,0.700,-1.685085,-0.350000,0.735593,-0.000000,-0.000000,0.108000,-0.806000,-0.060000,0.420000,pedestrian,walking,unknown,1.429463,1.000000,1.000000,1.850159,1.250159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250159,1.250159,1.250159,1.250159,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.675208,0,0.375593,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.588475,3.885085
local_crowding,context_int,Standard MPC-CBF,8,0.800,-1.611525,-0.350000,0.735593,-0.000000,-0.000000,0.102000,-0.764000,-0.060000,0.420000,pedestrian,walking,unknown,1.333552,1.000000,1.000000,1.762829,1.162829,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.162829,1.162829,1.162829,1.162829,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.741527,0,0.290850,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.662034,3.811525
local_crowding,context_int,Standard MPC-CBF,9,0.900,-1.537966,-0.350000,0.735593,-0.000000,-0.000000,0.096000,-0.722000,-0.060000,0.420000,pedestrian,crossing,distracted,1.237981,1.000000,1.000000,1.675777,1.075777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.075777,1.075777,1.075777,1.075777,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.202101,0,0.206800,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.735593,3.737966
local_crowding,context_int,Standard MPC-CBF,10,1.000,-1.464407,-0.350000,0.735593,-0.000000,-0.000000,0.090000,-0.680000,-0.060000,0.420000,pedestrian,crossing,distracted,1.142789,1.000000,1.000000,1.589050,0.989050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.989050,0.989050,0.989050,0.989050,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.057206,0,0.123580,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.809153,3.664407
local_crowding,context_int,Standard MPC-CBF,11,1.100,-1.390847,-0.350000,0.735593,-0.000000,-0.000000,0.084000,-0.638000,-0.060000,0.420000,pedestrian,crossing,distracted,1.048023,1.000000,1.000000,1.502704,0.902704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.902704,0.902704,0.902704,0.902704,0.000000,cbf_qp,1,inf,true,osqp,optimal,50,1.085869,0,0.041364,geometric,false,0.750000,0.000000,0.735593,-0.000000,,,0.735593,0.000000,0.882712,3.590847
local_crowding,context_int,Standard MPC-CBF,12,1.200,-1.317288,-0.350000,0.735593,-0.000000,-0.000000,0.078000,-0.596000,-0.060000,0.420000,pedestrian,crossing,distracted,0.953732,1.000000,1.000000,1.416808,0.816808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816808,0.816808,0.816808,0.816808,0.000134,cbf_qp,1,inf,true,osqp,optimal,50,1.257338,1,-0.000010,geometric,false,0.750000,0.000000,0.697146,0.009319,,,0.697208,0.039561,0.952433,3.517288
local_crowding,context_int,Standard MPC-CBF,13,1.300,-1.247574,-0.349068,0.697146,0.009319,0.013366,0.072000,-0.554000,-0.060000,0.420000,pedestrian,crossing,distracted,0.906547,1.000000,1.000000,1.335392,0.735392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.735392,0.735392,0.735392,0.735392,0.000323,cbf_qp,1,inf,true,osqp,optimal,75,1.341955,1,-0.000000,geometric,false,0.750000,-0.000203,0.622355,0.019621,,,0.622664,0.075497,1.014699,3.447574
local_crowding,context_int,Standard MPC-CBF,14,1.400,-1.185338,-0.347106,0.622355,0.019621,0.031516,0.066000,-0.512000,-0.060000,0.420000,pedestrian,crossing,distracted,0.908539,1.000000,1.000000,1.262156,0.662156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.662156,0.662156,0.662156,0.662156,0.000488,cbf_qp,1,inf,true,osqp,optimal,75,1.731941,1,-0.000000,geometric,false,0.750000,-0.000641,0.556307,0.024883,,,0.556863,0.066257,1.070385,3.385339
local_crowding,context_int,Standard MPC-CBF,15,1.500,-1.129707,-0.344618,0.556307,0.024883,0.044698,0.060000,-0.470000,-0.060000,0.420000,pedestrian,crossing,distracted,0.911316,1.000000,1.000000,1.196296,0.596296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.596296,0.596296,0.596296,0.596296,0.000632,cbf_qp,1,inf,true,osqp,optimal,75,1.332414,1,-0.000000,geometric,false,0.749999,-0.001212,0.498635,0.025279,,,0.499275,0.057673,1.120313,3.329712
local_crowding,context_int,Standard MPC-CBF,16,1.600,-1.079844,-0.342090,0.498635,0.025279,0.050652,0.054000,-0.428000,-0.060000,0.420000,pedestrian,crossing,distracted,0.915199,1.000000,1.000000,1.137094,0.537094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.537094,0.537094,0.537094,0.537094,0.000754,cbf_qp,1,inf,true,osqp,optimal,75,1.118762,1,-0.000001,geometric,false,0.749998,-0.001809,0.449158,0.020986,,,0.449648,0.049663,1.165278,3.279853
local_crowding,context_int,Standard MPC-CBF,17,1.700,-1.034928,-0.339991,0.449158,0.020986,0.046688,0.048000,-0.386000,-0.060000,0.420000,pedestrian,crossing,distracted,0.920609,1.000000,1.000000,1.083905,0.483905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.483905,0.483905,0.483905,0.483905,0.000856,cbf_qp,1,inf,true,osqp,optimal,75,1.197769,1,-0.000001,geometric,false,0.749996,-0.002320,0.407874,0.012215,,,0.408057,0.042205,1.206083,3.234944
local_crowding,context_int,Standard MPC-CBF,18,1.800,-0.994141,-0.338770,0.407874,0.012215,0.029938,0.042000,-0.344000,-0.060000,0.420000,pedestrian,crossing,distracted,0.928132,1.000000,1.000000,1.036154,0.436154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.436154,0.436154,0.436154,0.436154,0.000938,cbf_qp,1,inf,true,osqp,optimal,75,1.121802,1,-0.000001,geometric,false,0.749995,-0.002637,0.374974,-0.000744,,,0.374975,0.035360,1.243581,3.194160
local_crowding,context_int,Standard MPC-CBF,19,1.900,-0.956643,-0.338844,0.374974,-0.000744,-0.001984,0.036000,-0.302000,-0.060000,0.420000,pedestrian,crossing,distracted,0.938574,1.000000,1.000000,0.993327,0.393327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393327,0.393327,0.393327,0.393327,0.000999,cbf_qp,1,inf,true,osqp,optimal,75,1.105560,1,-0.000001,geometric,false,0.749995,-0.002651,0.350835,-0.017466,,,0.351270,0.029365,1.278708,3.156663
local_crowding,context_int,Standard MPC-CBF,20,2.000,-0.921560,-0.340591,0.350835,-0.017466,-0.049744,0.030000,-0.260000,-0.060000,0.420000,pedestrian,crossing,distracted,0.953054,1.000000,1.000000,0.954966,0.354966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.354966,0.354966,0.354966,0.354966,0.001039,cbf_qp,1,inf,true,osqp,optimal,75,1.223658,1,-0.000001,geometric,false,0.749997,-0.002261,0.336013,-0.037322,,,0.338079,0.024779,1.312516,3.121574
local_crowding,context_int,Standard MPC-CBF,21,2.100,-0.887959,-0.344323,0.336013,-0.037322,-0.110621,0.024000,-0.218000,-0.060000,0.420000,pedestrian,crossing,distracted,0.973134,1.000000,1.000000,0.920666,0.320666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320666,0.320666,0.320666,0.320666,0.001057,cbf_qp,1,inf,true,osqp,optimal,75,1.141618,1,-0.000001,geometric,false,0.749999,-0.001379,0.331200,-0.059390,,,0.336483,0.022586,1.346164,3.087964
local_crowding,context_int,Standard MPC-CBF,22,2.200,-0.854839,-0.350262,0.331200,-0.059390,-0.177432,0.018000,-0.176000,-0.060000,0.420000,pedestrian,crossing,distracted,1.001012,1.000000,1.000000,0.890064,0.290064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.290064,0.290064,0.290064,0.290064,0.001052,cbf_qp,1,inf,true,osqp,optimal,75,1.126668,1,-0.000000,geometric,false,0.750000,0.000064,0.337159,-0.082359,,,0.347072,0.023730,1.380871,3.054839
local_crowding,context_int,Standard MPC-CBF,23,2.300,-0.821123,-0.358498,0.337159,-0.082359,-0.239583,0.012000,-0.134000,-0.060000,0.420000,pedestrian,crossing,distracted,1.039824,1.000000,1.000000,0.862840,0.262840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262840,0.262840,0.262840,0.262840,0.001024,cbf_qp,1,inf,true,osqp,optimal,75,1.171602,1,-0.000000,geometric,false,0.749997,0.002110,0.354594,-0.104438,,,0.369654,0.028133,1.417837,3.021135
local_crowding,context_int,Standard MPC-CBF,24,2.400,-0.785663,-0.368942,0.354594,-0.104438,-0.286429,0.006000,-0.092000,-0.060000,0.420000,pedestrian,crossing,distracted,1.094130,1.000000,1.000000,0.838706,0.238706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.238706,0.238706,0.238706,0.238706,0.000969,cbf_qp,1,inf,true,osqp,optimal,75,1.282154,1,-0.000000,geometric,false,0.749985,0.004758,0.383970,-0.123282,,,0.403276,0.034901,1.458164,2.985723
local_crowding,context_int,Standard MPC-CBF,25,2.500,-0.747266,-0.381270,0.383970,-0.123282,-0.310676,0.000000,-0.050000,-0.060000,0.420000,pedestrian,crossing,distracted,1.170726,1.000000,1.000000,0.817402,0.217402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217402,0.217402,0.217402,0.217402,0.000888,cbf_qp,1,inf,true,osqp,optimal,50,1.408286,1,-0.000009,geometric,false,0.749958,0.007957,0.425261,-0.135984,,,0.446474,0.043201,1.502812,2.947432
local_crowding,context_int,Standard MPC-CBF,26,2.600,-0.704740,-0.394869,0.425261,-0.135984,-0.309491,-0.006000,-0.008000,-0.060000,0.420000,pedestrian,crossing,distracted,1.279988,1.000000,1.000000,0.798690,0.198690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.198690,0.198690,0.198690,0.198690,0.000778,cbf_qp,1,inf,true,osqp,optimal,50,1.640340,1,-0.000002,geometric,false,0.749911,0.011584,0.477604,-0.139183,,,0.497471,0.052440,1.552559,2.905087
local_crowding,context_int,Standard MPC-CBF,27,2.700,-0.656980,-0.408787,0.477604,-0.139183,-0.283567,-0.012000,0.034000,-0.060000,0.420000,pedestrian,crossing,distracted,1.438850,1.000000,1.000000,0.782342,0.182342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182342,0.182342,0.182342,0.182342,0.000639,cbf_qp,1,inf,true,osqp,optimal,50,1.814358,1,-0.000000,geometric,false,0.749841,0.015429,0.539044,-0.129286,,,0.554331,0.062232,1.607992,2.857585
local_crowding,context_int,Standard MPC-CBF,28,2.800,-0.603075,-0.421716,0.539044,-0.129286,-0.235397,-0.018000,0.076000,-0.060000,0.420000,pedestrian,crossing,distracted,1.675179,1.000000,1.000000,0.768137,0.168137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.168137,0.168137,0.168137,0.168137,0.000471,cbf_qp,1,inf,true,osqp,optimal,50,1.259332,1,-0.000000,geometric,false,0.749755,0.019182,0.606211,-0.102929,,,0.614887,0.072154,1.669480,2.803993
