delta_bar_beta,step,beta_i,delta_beta,epsilon,gamma,eps_max,theory_lower_bound,h_see,bound_satisfied
0.010000,0,0.110000,0.010000,0.005000,0.250000,0.020000,-0.120000,0.135000,true
0.010000,1,0.110000,0.000000,0.010000,0.250000,0.020000,-0.120000,0.091250,true
0.010000,2,0.120000,0.010000,0.015000,0.250000,0.020000,-0.120000,0.043438,true
0.010000,3,0.120000,0.000000,0.020000,0.250000,0.020000,-0.120000,0.012578,true
0.010000,4,0.130000,0.010000,0.020000,0.250000,0.020000,-0.120000,-0.020566,true
0.010000,5,0.130000,0.000000,0.020000,0.250000,0.020000,-0.120000,-0.035425,true
0.010000,6,0.140000,0.010000,0.020000,0.250000,0.020000,-0.120000,-0.056569,true
0.010000,7,0.140000,0.000000,0.020000,0.250000,0.020000,-0.120000,-0.062426,true
0.030000,0,0.130000,0.030000,0.005000,0.250000,0.020000,-0.200000,0.115000,true
0.030000,1,0.130000,0.000000,0.010000,0.250000,0.020000,-0.200000,0.076250,true
0.030000,2,0.160000,0.030000,0.015000,0.250000,0.020000,-0.200000,0.012188,true
0.030000,3,0.160000,0.000000,0.020000,0.250000,0.020000,-0.200000,-0.010859,true
0.030000,4,0.190000,0.030000,0.020000,0.250000,0.020000,-0.200000,-0.058145,true
0.030000,5,0.190000,0.000000,0.020000,0.250000,0.020000,-0.200000,-0.063608,true
0.030000,6,0.220000,0.030000,0.020000,0.250000,0.020000,-0.200000,-0.097706,true
0.030000,7,0.220000,0.000000,0.020000,0.250000,0.020000,-0.200000,-0.093280,true
0.050000,0,0.150000,0.050000,0.005000,0.250000,0.020000,-0.280000,0.095000,true
0.050000,1,0.150000,0.000000,0.010000,0.250000,0.020000,-0.280000,0.061250,true
0.050000,2,0.200000,0.050000,0.015000,0.250000,0.020000,-0.280000,-0.019062,true
0.050000,3,0.200000,0.000000,0.020000,0.250000,0.020000,-0.280000,-0.034297,true
0.050000,4,0.250000,0.050000,0.020000,0.250000,0.020000,-0.280000,-0.095723,true
0.050000,5,0.250000,0.000000,0.020000,0.250000,0.020000,-0.280000,-0.091792,true
0.050000,6,0.300000,0.050000,0.020000,0.250000,0.020000,-0.280000,-0.138844,true
0.050000,7,0.300000,0.000000,0.020000,0.250000,0.020000,-0.280000,-0.124133,true
0.100000,0,0.200000,0.100000,0.005000,0.250000,0.020000,-0.480000,0.045000,true
0.100000,1,0.200000,0.000000,0.010000,0.250000,0.020000,-0.480000,0.023750,true
0.100000,2,0.300000,0.100000,0.015000,0.250000,0.020000,-0.480000,-0.097187,true
0.100000,3,0.300000,0.000000,0.020000,0.250000,0.020000,-0.480000,-0.092891,true
0.100000,4,0.400000,0.100000,0.020000,0.250000,0.020000,-0.480000,-0.189668,true
0.100000,5,0.400000,0.000000,0.020000,0.250000,0.020000,-0.480000,-0.162251,true
0.100000,6,0.500000,0.100000,0.020000,0.250000,0.020000,-0.480000,-0.241688,true
0.100000,7,0.500000,0.000000,0.020000,0.250000,0.020000,-0.480000,-0.201266,true
